model,domain,skill,test_rows,raw_prediction_items,predicted_items,gold_items,filtered_items,duplicate_items_removed,unsupported_items,unsupported_item_rate,exact_macro_precision,exact_macro_recall,exact_macro_f1,exact_micro_precision,exact_micro_recall,exact_micro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,containment_micro_precision,containment_micro_recall,containment_micro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,lexical_micro_precision,lexical_micro_recall,lexical_micro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,semantic_micro_precision,semantic_micro_recall,semantic_micro_f1
BART task-unadapted,journal,nice_to_have,88,78,77,216,0,0,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.022095959595959596,0.03257575757575758,0.07792207792207792,0.027777777777777776,0.040955631399317405,0.06818181818181818,0.022095959595959596,0.03257575757575758,0.07792207792207792,0.027777777777777776,0.040955631399317405,0.07954545454545454,0.025883838383838384,0.03825757575757576,0.09090909090909091,0.032407407407407406,0.0477815699658703
BART task-unadapted,journal,soft_skills,142,119,118,892,1,0,116,0.9830508474576272,0.0,0.0,0.0,0.0,0.0,0.0,0.28051643192488257,0.06342390291748204,0.09225469941087173,0.3474576271186441,0.04596412556053812,0.08118811881188119,0.28051643192488257,0.06342390291748204,0.09225469941087173,0.3474576271186441,0.04596412556053812,0.08118811881188119,0.28051643192488257,0.06342390291748204,0.09225469941087173,0.3474576271186441,0.04596412556053812,0.08118811881188119
BART task-unadapted,merged,all_skills,318,278,277,6893,1,0,275,0.9927797833935018,0.0015723270440251573,0.00010144045445323595,0.00019058509624547362,0.0036101083032490976,0.0001450747134774409,0.0002789400278940028,0.5267295597484277,0.032269973913207975,0.059082581239911176,0.6173285198555957,0.02480777600464239,0.04769874476987448,0.529874213836478,0.032395760076729986,0.05932447770822273,0.6209386281588448,0.024952850718119833,0.04797768479776848,0.5361635220125787,0.03257995458613192,0.05968228290093358,0.628158844765343,0.025243000145074714,0.048535564853556486
BART task-unadapted,merged,distinct_skills,140,121,119,355,1,0,119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09285714285714286,0.0372108843537415,0.04630952380952381,0.1092436974789916,0.036619718309859155,0.05485232067510548,0.09285714285714286,0.0372108843537415,0.04630952380952381,0.1092436974789916,0.036619718309859155,0.05485232067510548,0.10714285714285714,0.051496598639455785,0.060595238095238105,0.12605042016806722,0.04225352112676056,0.06329113924050633
BART task-unadapted,merged,hard_skills,317,270,268,4463,1,0,264,0.9850746268656716,0.0015772870662460567,0.00018556318426424197,0.00033206043499916984,0.0037313432835820895,0.00022406453058480843,0.0004227436060029592,0.39274447949526814,0.040774316851320457,0.06914225326995088,0.47388059701492535,0.02845619538427067,0.05368843796237582,0.39274447949526814,0.040774316851320457,0.06914225326995088,0.47388059701492535,0.02845619538427067,0.05368843796237582,0.39274447949526814,0.040774316851320457,0.06914225326995088,0.47388059701492535,0.02845619538427067,0.05368843796237582
BART task-unadapted,merged,must_have,303,261,261,4422,0,0,259,0.9923371647509579,0.0,0.0,0.0,0.0,0.0,0.0,0.3261826182618262,0.03275146172383546,0.05454852344557459,0.38697318007662834,0.022840343735866124,0.04313474268631219,0.3261826182618262,0.03275146172383546,0.05454852344557459,0.38697318007662834,0.022840343735866124,0.04313474268631219,0.3360836083608361,0.033204881755664946,0.0554118042180963,0.39846743295019155,0.023518769787426504,0.044415972667093746
BART task-unadapted,merged,nice_to_have,172,149,148,664,0,0,148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.03020025839793282,0.03906423034330011,0.08108108108108109,0.018072289156626505,0.02955665024630542,0.06976744186046512,0.03020025839793282,0.03906423034330011,0.08108108108108109,0.018072289156626505,0.02955665024630542,0.0755813953488372,0.03213824289405685,0.04197120708748616,0.08783783783783784,0.01957831325301205,0.03201970443349754
BART task-unadapted,merged,soft_skills,294,254,253,2064,1,0,251,0.9920948616600791,0.0,0.0,0.0,0.0,0.0,0.0,0.23639455782312926,0.038517201957051585,0.062456077447073856,0.2766798418972332,0.03391472868217054,0.06042296072507552,0.23639455782312926,0.038517201957051585,0.062456077447073856,0.2766798418972332,0.03391472868217054,0.06042296072507552,0.23639455782312926,0.038517201957051585,0.062456077447073856,0.2766798418972332,0.03391472868217054,0.06042296072507552
BERT task-unadapted,it,all_skills,157,11692,8516,3296,3167,8,0,0.0,0.05680156644053238,0.13580869621549566,0.07592714545798712,0.054368248003757634,0.1404733009708738,0.07839485269217746,0.19484252067469174,0.48499468377857063,0.26448646428422645,0.18729450446218882,0.4839199029126214,0.2700643413477819,0.19528709897250407,0.4863595609396261,0.2651561454316875,0.18764678252700798,0.4848300970873786,0.2705722993565865,0.19682497807151952,0.4889227531327769,0.26698470918558137,0.18893846876467826,0.48816747572815533,0.27243481205553677
BERT task-unadapted,it,distinct_skills,42,3380,2502,89,869,8,0,0.0,0.006847020845771041,0.12916666666666665,0.012163734620942057,0.005195843325339729,0.14606741573033707,0.010034735623311464,0.012713237227399823,0.3880952380952381,0.02342871436743261,0.011590727418065548,0.3258426966292135,0.02238517946738711,0.012713237227399823,0.3880952380952381,0.02342871436743261,0.011590727418065548,0.3258426966292135,0.02238517946738711,0.012713237227399823,0.3880952380952381,0.02342871436743261,0.011590727418065548,0.3258426966292135,0.02238517946738711
BERT task-unadapted,it,hard_skills,157,11779,8629,2066,3136,11,0,0.0,0.03824851748149754,0.16313788134582327,0.05819916049289493,0.037779580484413024,0.15779283639883834,0.06096306685366994,0.10783381385872415,0.44418364771330193,0.1635466534180518,0.10615366786417893,0.44336882865440463,0.1712949976624591,0.10783381385872415,0.44418364771330193,0.1635466534180518,0.10615366786417893,0.44336882865440463,0.1712949976624591,0.10850051843864529,0.4464950361795681,0.1644629075122433,0.106617220998957,0.4453049370764763,0.17204301075268816
BERT task-unadapted,it,must_have,143,11130,8177,1143,2939,12,0,0.0,0.028661140187562627,0.17853928803596142,0.04527147349477705,0.026170967347437936,0.18722659667541558,0.04592274678111589,0.07109163608476037,0.5152276120988674,0.11484210643126465,0.06469365292894705,0.46281714785651795,0.11351931330472104,0.07109163608476037,0.5152276120988674,0.11484210643126465,0.06469365292894705,0.46281714785651795,0.11351931330472104,0.07153806465618893,0.5175780394492947,0.11556803897537901,0.06506053564877094,0.4654418197725284,0.11416309012875538
