family,domain,skill,test_rows,control_exact_macro_f1,finetuned_exact_macro_f1,delta_exact_macro_f1,control_exact_micro_f1,finetuned_exact_micro_f1,delta_exact_micro_f1,control_containment_macro_f1,finetuned_containment_macro_f1,delta_containment_macro_f1,control_containment_micro_f1,finetuned_containment_micro_f1,delta_containment_micro_f1,control_lexical_macro_f1,finetuned_lexical_macro_f1,delta_lexical_macro_f1,control_lexical_micro_f1,finetuned_lexical_micro_f1,delta_lexical_micro_f1,control_semantic_macro_f1,finetuned_semantic_macro_f1,delta_semantic_macro_f1,control_semantic_micro_f1,finetuned_semantic_micro_f1,delta_semantic_micro_f1,control_unsupported_item_rate,finetuned_unsupported_item_rate,delta_unsupported_item_rate,control_filtered_item_rate,finetuned_filtered_item_rate,delta_filtered_item_rate
BERT,journal,hard_skills,161,0.0202922454433345,0.4068363616148234,0.38654411617148887,0.0252899484536082,0.4074256612452768,0.3821357127916686,0.2163773325483873,0.6890119812722547,0.4726346487238674,0.2292203608247422,0.6982092985050106,0.4689889376802684,0.2169894723225983,0.6926756186190558,0.4756861462964575,0.2298646907216494,0.7018235584031542,0.47195886768150486,0.2192985727910187,0.6953148775774441,0.4760163047864254,0.2322809278350515,0.7051092492196483,0.47282832138459685,0.0,0.0,0.0,0.24660310787478418,0.06348400203148806,-0.1831191058432961
BERT,journal,must_have,161,0.0441333185314699,0.5029218939614084,0.4587885754299385,0.0470323065364387,0.5022912423625254,0.45525893582608673,0.2654989338366275,0.7626096570289056,0.4971107231922781,0.2805409466566491,0.7632382892057027,0.4826973425490536,0.2664868271674064,0.7649804722440611,0.49849364507665467,0.2817430503380916,0.7657841140529532,0.4840410637148616,0.2691713315756753,0.7662262090159264,0.4970548774402511,0.2845980465815176,0.7678207739307537,0.48322272734923605,0.0,0.0,0.0,0.24545317901698482,0.05003113971351464,-0.19542203930347019
BERT,journal,nice_to_have,88,0.0076076070864158,0.384606239719876,0.37699863263346023,0.0076775431861804,0.3598615916955017,0.3521840485093213,0.0400308555726053,0.6479035232444323,0.607872667671827,0.039085674402373,0.6608996539792388,0.6218139795768658,0.0400308555726053,0.6479035232444323,0.607872667671827,0.039085674402373,0.6608996539792388,0.6218139795768658,0.0402186842728307,0.6479035232444323,0.6076848389716016,0.0394346536381085,0.6608996539792388,0.6214650003411303,0.0,0.0,0.0,0.24758141436162964,0.08816120906801007,-0.15942020529361955
BERT,journal,soft_skills,142,0.0368463013353192,0.5444987201180707,0.5076524187827515,0.035515873015873,0.5755333043099695,0.5400174312940965,0.0932945130766636,0.7346374213618857,0.6413429082852221,0.0926587301587301,0.7279059643012626,0.6352472341425326,0.0932945130766636,0.7378765531221442,0.6445820400454806,0.0926587301587301,0.7313887679582064,0.6387300377994763,0.0938277122718346,0.7383460366902194,0.6445183244183847,0.0930555555555555,0.7322594688724422,0.6392039133168868,0.0,0.0,0.0,0.24335664335664337,0.11967418546365914,-0.12368245789298422
BERT,merged,all_skills,318,0.0588800724444782,0.5295683209659356,0.47068824852145746,0.0612984987326964,0.5433976984591379,0.4820991997264415,0.2701431488164265,0.774926469841685,0.5047833210252586,0.2816143497757847,0.7899356348741954,0.5083212850984107,0.2708730111772109,0.7767341693007732,0.5058611581235624,0.2823162409826477,0.7918860932319096,0.509569852249262,0.2731628379072,0.7775237879594623,0.5043609500522623,0.2846558783388574,0.7930563682465379,0.5084004899076805,0.0,0.0,0.0,0.2576895706491658,0.040984532008580786,-0.21670503864058502
BERT,merged,distinct_skills,140,0.0099062450379432,0.2652611475825762,0.255354902544633,0.0070275612166465,0.2766217870257038,0.2695942258090573,0.0459506005351107,0.4706666468452182,0.4247160463101075,0.0417261447238388,0.5238678090575275,0.4821416643336887,0.0460639792199179,0.4706666468452182,0.4246026676253003,0.041945756011859,0.5238678090575275,0.4819220530456685,0.0467195053067553,0.4720952182737896,0.4253757129670343,0.0428242011639398,0.5263157894736842,0.48349158830974437,0.0,0.0,0.0,0.244270205066345,0.029411764705882353,-0.21485844036046264
BERT,merged,hard_skills,317,0.0375368686089905,0.4909416688673194,0.45340480025832886,0.0392173763144285,0.4907941231169797,0.45157674680255117,0.1872724951326771,0.7163047977406155,0.5290323026079384,0.1986726426478193,0.7310768086293472,0.532404165981528,0.187694079432192,0.7181453212040124,0.5304512417718205,0.1991036028270987,0.732936581737028,0.5338329789099293,0.1892167156165582,0.7196474545810019,0.5304307389644437,0.2009136355800724,0.734796354844709,0.5338827192646365,0.0,0.0,0.0,0.25422381236334723,0.0384967919340055,-0.21572702042934172
BERT,merged,must_have,303,0.0451860101378615,0.4696727541017349,0.4244867439638734,0.0457258206073371,0.494437111069206,0.4487112904618689,0.1985427698148162,0.6751085017137213,0.47656573189890505,0.2150254519922766,0.7301527437299643,0.5151272917376877,0.1990455667585558,0.6761090066271076,0.4770634398685518,0.2157275759171494,0.7314727512728644,0.515745175355715,0.2010908792645422,0.6766152453066897,0.47552436604214754,0.2178339476917676,0.7326041863096361,0.5147702386178685,0.0,0.0,0.0,0.2501120756408689,0.05379795200978144,-0.19631412363108747
BERT,merged,nice_to_have,172,0.0184332951402913,0.435869198033962,0.4174359028936707,0.0186153709777502,0.4633688165309956,0.4447534455532454,0.0556344440547533,0.6446989241373456,0.5890644800825924,0.055136955943622,0.6787726988102692,0.6236357428666472,0.0558384424227664,0.6446989241373456,0.5888604817145793,0.0553142451910291,0.6787726988102692,0.6234584536192401,0.0561162268740445,0.6446989241373456,0.5885826972633011,0.0556688236858434,0.6787726988102692,0.6231038751244259,0.0,0.0,0.0,0.24833875300438285,0.03115264797507788,-0.21718610502930497
BERT,merged,soft_skills,294,0.0330674444241,0.531311617514731,0.498244173090631,0.0325244184875642,0.540199470791777,0.5076750523042128,0.1159758279917086,0.7377256456135539,0.6217498176218453,0.115094149632464,0.7457765112965601,0.6306823616640961,0.116411460402262,0.7399904566183827,0.6235789962161207,0.1154969288087806,0.7486260940362304,0.6331291652274498,0.1167758918891424,0.7402716770023609,0.6234957851132185,0.115799013191018,0.7494402605332792,0.6336412473422611,0.0,0.0,0.0,0.25369695446357504,0.0659016393442623,-0.18779531511931274
