model,domain,skill,test_rows,raw_prediction_items,predicted_items,gold_items,filtered_items,duplicate_items_removed,unsupported_items,format_compliance,unsupported_item_rate,exact_new_matches,containment_new_matches,lexical_new_matches,semantic_new_matches,exact_macro_precision,exact_macro_recall,exact_macro_f1,exact_micro_precision,exact_micro_recall,exact_micro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,containment_micro_precision,containment_micro_recall,containment_micro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,lexical_micro_precision,lexical_micro_recall,lexical_micro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,semantic_micro_precision,semantic_micro_recall,semantic_micro_f1
BART,it,distinct_skills,42,47,47,89,0,0,6,not recoverable from retained parsed artifacts,0.1276595744680851,14,7,0,1,0.2857142857142857,0.2174603174603174,0.23290043290043289,0.2978723404255319,0.15730337078651685,0.20588235294117646,0.44047619047619047,0.3543650793650793,0.3694083694083694,0.44680851063829785,0.23595505617977527,0.30882352941176466,0.44047619047619047,0.3543650793650793,0.3694083694083694,0.44680851063829785,0.23595505617977527,0.30882352941176466,0.4642857142857143,0.37817460317460316,0.39321789321789324,0.46808510638297873,0.24719101123595505,0.3235294117647059
BART,it,must_have,143,820,820,1143,0,0,27,not recoverable from retained parsed artifacts,0.032926829268292684,344,155,4,1,0.44051941020266816,0.3413506747503313,0.3492465669965171,0.4195121951219512,0.3009623797025372,0.35048395313295977,0.6622392673143394,0.495868485717671,0.5040487855609073,0.6085365853658536,0.43657042869641294,0.5084055017829852,0.6656360967292683,0.4997127697758588,0.5074571419104401,0.6134146341463415,0.44006999125109364,0.5124808965868569,0.6665102226033941,0.5014610215241105,0.5086226430759413,0.6146341463414634,0.4409448818897638,0.5134997452878247
BART,it,nice_to_have,83,354,352,447,1,1,10,not recoverable from retained parsed artifacts,0.028409090909090908,126,49,0,0,0.3320163771971001,0.30091649349734323,0.301005562791691,0.35795454545454547,0.28187919463087246,0.31539424280350437,0.45089839878996507,0.38329298053457855,0.39295929818911035,0.4971590909090909,0.39149888143176736,0.4380475594493116,0.45089839878996507,0.38329298053457855,0.39295929818911035,0.4971590909090909,0.39149888143176736,0.4380475594493116,0.45089839878996507,0.38329298053457855,0.39295929818911035,0.4971590909090909,0.39149888143176736,0.4380475594493116
BART,journal,all_skills,161,1920,1920,3598,0,0,87,not recoverable from retained parsed artifacts,0.0453125,977,531,33,23,0.49616692594819983,0.2997660380131498,0.35707191992108295,0.5088541666666667,0.2715397443023902,0.35411380935121417,0.7867669007089251,0.46026583706630053,0.552487194788644,0.7854166666666667,0.4191217342968316,0.5465748459586807,0.8042642517286864,0.4716219596639737,0.56551425114791,0.8026041666666667,0.4282934963868816,0.5585357013410656,0.8161017156535177,0.4787896918889179,0.5736902260898723,0.8145833333333333,0.43468593663146193,0.5668720550924248
BART,journal,hard_skills,161,1326,1326,2399,0,0,59,not recoverable from retained parsed artifacts,0.0444947209653092,529,369,25,14,0.38962995782306586,0.24871962627093594,0.28822142689925423,0.39894419306184015,0.220508545227178,0.2840268456375839,0.661232067028221,0.42410872118276455,0.48748126782480466,0.6772247360482655,0.37432263443101293,0.4821476510067115,0.6801511396740016,0.43871871815361235,0.5021669092983526,0.696078431372549,0.38474364318466026,0.49557046979865765,0.6955046380075162,0.44507131873558947,0.5097063546819662,0.7066365007541479,0.3905794080867028,0.5030872483221477
BART,journal,soft_skills,142,725,725,892,0,0,27,not recoverable from retained parsed artifacts,0.037241379310344824,456,74,13,0,0.6129871009272416,0.5495065691006039,0.5554165606483893,0.6289655172413793,0.5112107623318386,0.5640074211502784,0.7363059378024167,0.6545130971394434,0.6617627969347536,0.7310344827586207,0.594170403587444,0.655534941249227,0.7529630776109648,0.6683521923165668,0.6764050692283314,0.7489655172413793,0.6087443946188341,0.6716141001855288,0.7529630776109648,0.6683521923165668,0.6764050692283314,0.7489655172413793,0.6087443946188341,0.6716141001855288
BART,journal,distinct_skills,98,137,137,266,0,0,62,not recoverable from retained parsed artifacts,0.45255474452554745,25,24,5,5,0.1649659863945578,0.1433673469387755,0.1487528344671202,0.18248175182481752,0.09398496240601503,0.12406947890818856,0.3877551020408163,0.254247651441529,0.2785066407515387,0.35766423357664234,0.18421052631578946,0.24317617866004962,0.4260204081632653,0.2766966310333657,0.3054340783932621,0.39416058394160586,0.20300751879699247,0.2679900744416874,0.461734693877551,0.29090945902170395,0.3243683187560738,0.4306569343065693,0.22180451127819548,0.292803970223325
BART,journal,must_have,161,1469,1469,3281,0,0,89,not recoverable from retained parsed artifacts,0.0605854322668482,736,411,31,12,0.49780783393691597,0.25826329153849714,0.31992883193260346,0.5010211027910143,0.22432185309356903,0.3098947368421053,0.7802457611150212,0.3944278908699518,0.490333144586504,0.7808032675289313,0.3495885400792441,0.4829473684210526,0.813660021834916,0.4061249324296318,0.5055451180416645,0.8019060585432267,0.3590368790003048,0.49599999999999994,0.8198434760618485,0.4091725323660754,0.5093706299721912,0.810074880871341,0.3626943005181347,0.5010526315789474
BART,journal,nice_to_have,88,137,137,216,0,0,25,not recoverable from retained parsed artifacts,0.18248175182481752,42,29,6,2,0.26041666666666663,0.20686327561327558,0.2177858126721763,0.30656934306569344,0.19444444444444445,0.23796033994334276,0.4971590909090909,0.3464917027417027,0.3832078905942542,0.5182481751824818,0.3287037037037037,0.40226628895184136,0.5520833333333334,0.37433261183261185,0.4158377607241244,0.5620437956204379,0.35648148148148145,0.4362606232294617,0.5615530303030304,0.38285533910533914,0.42476633215269577,0.5766423357664233,0.36574074074074076,0.4475920679886686
BART,merged,all_skills,318,3551,3551,6893,0,0,141,not recoverable from retained parsed artifacts,0.03970712475359054,1843,1042,55,22,0.5180689170369824,0.29085447204232984,0.3556100974101422,0.5190087299352295,0.26737269693892357,0.35292991191114514,0.819307372025257,0.45391841810925254,0.5562479298666824,0.8124471979724022,0.41854054838241694,0.5524703178858675,0.8333938521669976,0.4627083460103503,0.566572659102429,0.827935792734441,0.4265196576236762,0.5630026809651475,0.840322780846436,0.46700026994358446,0.5714895450144171,0.8341312306392565,0.4297113013201799,0.5672156261968594
BART,merged,hard_skills,317,3208,3208,4463,0,0,81,not recoverable from retained parsed artifacts,0.02524937655860349,1488,762,37,30,0.4697496424752272,0.36893025495936016,0.3936948824251061,0.46384039900249374,0.33340802151019494,0.38795463433711386,0.7100387725898472,0.5544829762920812,0.5896179439777157,0.7013715710723192,0.5041451938158189,0.5866249511145875,0.7219181300104599,0.563294016732642,0.598861239352439,0.7129052369077307,0.5124355814474568,0.5962716725329161,0.7286803110403721,0.5684757946463213,0.6044870375715126,0.7222568578553616,0.5191575173650012,0.6040933385477775
BART,merged,soft_skills,294,1692,1692,2064,0,0,41,not recoverable from retained parsed artifacts,0.024231678486997636,932,298,17,1,0.5347733260248266,0.47441437967595795,0.4780611433102113,0.5508274231678487,0.45155038759689925,0.49627263045793407,0.729511222293335,0.6381018873539566,0.6445201134296078,0.7269503546099291,0.5959302325581395,0.6549520766773164,0.7386110038420963,0.6443198002045226,0.6517393982158994,0.7369976359338062,0.6041666666666666,0.6640042598509053,0.7391778972661325,0.6454535870525951,0.6524952561146145,0.7375886524822695,0.6046511627906976,0.6645367412140575
BART,merged,distinct_skills,140,206,206,355,0,0,47,not recoverable from retained parsed artifacts,0.22815533980582525,45,40,4,4,0.20714285714285713,0.14057256235827664,0.15855406498263644,0.21844660194174756,0.1267605633802817,0.16042780748663102,0.425,0.2812358276643991,0.31235472860472857,0.41262135922330095,0.23943661971830985,0.30303030303030304,0.45357142857142857,0.29433106575963713,0.32878330003330003,0.4320388349514563,0.2507042253521127,0.31729055258467026,0.4785714285714286,0.3139739229024943,0.34949758574758577,0.45145631067961167,0.2619718309859155,0.3315508021390374
BART,merged,must_have,303,2635,2635,4422,0,0,57,not recoverable from retained parsed artifacts,0.021631878557874764,1233,577,16,18,0.4570341637989412,0.3211490449127729,0.34411696065850617,0.4679316888045541,0.27883310719131615,0.34944027207028483,0.68144444275071,0.46954061019820353,0.5021997839400506,0.6869070208728653,0.4093170511080959,0.5129658495111238,0.6872504861046614,0.4740785481643369,0.506810152727329,0.6929791271347249,0.4129353233830846,0.5175003542581833,0.6937109674653346,0.4844546852517395,0.5128175267747999,0.6998102466793169,0.41700587969244685,0.5226016720986254
BART,merged,nice_to_have,172,604,604,664,0,0,8,not recoverable from retained parsed artifacts,0.013245033112582781,258,104,2,1,0.44482933087584253,0.41026016856800207,0.39715006996195523,0.4271523178807947,0.3885542168674699,0.4069400630914826,0.6297700845665961,0.5783538744677055,0.5627015301285987,0.5993377483443708,0.5451807228915663,0.5709779179810726,0.6331615574348133,0.580970153537473,0.5656085068727847,0.6026490066225165,0.5481927710843374,0.5741324921135648,0.6350995419309373,0.5867841070258452,0.5685154836169708,0.6043046357615894,0.5496987951807228,0.5757097791798106
GPT,it,all_skills,157,4825,4824,3296,0,1,38,not recoverable from retained parsed artifacts,0.007877280265339967,1945,853,5,14,0.39470583855839336,0.5810946539355126,0.45947130191019203,0.40319237147595355,0.5901092233009708,0.47906403940886694,0.5756003284656039,0.8488368712486305,0.6680413351795669,0.5800165837479271,0.8489077669902912,0.6891625615763547,0.5766103276886456,0.8501865250588945,0.669187677360117,0.5810530679933665,0.8504247572815534,0.6903940886699508,0.5793381811757162,0.8547275962225545,0.6723884112855322,0.5839552238805971,0.8546723300970874,0.6938423645320198
