domain,skill,split,feature,n,mean,median,minimum,maximum
journal,hard_skills,all,input_words,321,422.14018691588785,425.0,44.0,915.0
journal,hard_skills,all,target_items,321,15.118380062305295,13.0,1.0,63.0
journal,hard_skills,all,target_words,321,75.77881619937695,66.0,2.0,248.0
journal,hard_skills,train,input_words,128,423.453125,420.0,92.0,915.0
journal,hard_skills,train,target_items,128,15.15625,13.0,2.0,63.0
journal,hard_skills,train,target_words,128,76.015625,65.5,5.0,248.0
journal,hard_skills,validation,input_words,32,423.46875,430.5,94.0,803.0
journal,hard_skills,validation,target_items,32,15.1875,12.5,1.0,42.0
journal,hard_skills,validation,target_words,32,76.0,74.5,2.0,152.0
journal,hard_skills,test,input_words,161,420.832298136646,419.0,44.0,881.0
journal,hard_skills,test,target_items,161,15.074534161490684,13.0,1.0,52.0
journal,hard_skills,test,target_words,161,75.54658385093168,66.0,5.0,238.0
journal,soft_skills,all,input_words,283,438.2226148409894,460.0,44.0,915.0
journal,soft_skills,all,target_items,283,6.448763250883392,5.0,1.0,22.0
journal,soft_skills,all,target_words,283,18.71731448763251,16.0,1.0,80.0
journal,soft_skills,train,input_words,113,438.9646017699115,462.0,89.0,881.0
journal,soft_skills,train,target_items,113,6.460176991150442,5.0,1.0,22.0
journal,soft_skills,train,target_words,113,18.743362831858406,16.0,1.0,80.0
journal,soft_skills,validation,input_words,28,442.92857142857144,471.0,89.0,915.0
journal,soft_skills,validation,target_items,28,6.5,5.0,1.0,19.0
journal,soft_skills,validation,target_words,28,18.928571428571427,15.0,2.0,80.0
journal,soft_skills,test,input_words,142,436.7042253521127,448.5,44.0,868.0
journal,soft_skills,test,target_items,142,6.429577464788732,5.0,1.0,20.0
journal,soft_skills,test,target_words,142,18.654929577464788,15.5,1.0,64.0
journal,distinct_skills,all,input_words,197,432.71573604060916,436.0,44.0,868.0
journal,distinct_skills,all,target_items,197,2.7106598984771573,2.0,1.0,13.0
journal,distinct_skills,all,target_words,197,15.710659898477157,12.0,1.0,99.0
journal,distinct_skills,train,input_words,79,431.60759493670884,408.0,89.0,868.0
journal,distinct_skills,train,target_items,79,2.7088607594936707,2.0,1.0,11.0
journal,distinct_skills,train,target_words,79,15.658227848101266,12.0,1.0,99.0
journal,distinct_skills,validation,input_words,20,426.3,442.0,66.0,768.0
journal,distinct_skills,validation,target_items,20,2.65,2.0,1.0,13.0
journal,distinct_skills,validation,target_words,20,15.5,12.5,3.0,46.0
journal,distinct_skills,test,input_words,98,434.9183673469388,442.0,44.0,802.0
journal,distinct_skills,test,target_items,98,2.7244897959183674,2.0,1.0,10.0
journal,distinct_skills,test,target_words,98,15.795918367346939,12.0,1.0,93.0
journal,must_have,all,input_words,321,421.66043613707166,425.0,44.0,915.0
journal,must_have,all,target_items,321,20.697819314641745,19.0,1.0,67.0
journal,must_have,all,target_words,321,95.25856697819314,84.0,2.0,284.0
journal,must_have,train,input_words,128,423.1015625,425.0,55.0,803.0
journal,must_have,train,target_items,128,20.7578125,18.5,2.0,67.0
journal,must_have,train,target_words,128,95.6015625,83.0,2.0,237.0
journal,must_have,validation,input_words,32,422.71875,423.0,89.0,802.0
journal,must_have,validation,target_items,32,20.75,20.0,2.0,54.0
journal,must_have,validation,target_words,32,95.46875,87.0,7.0,234.0
journal,must_have,test,input_words,161,420.30434782608694,415.0,44.0,915.0
journal,must_have,test,target_items,161,20.63975155279503,19.0,1.0,63.0
journal,must_have,test,target_words,161,94.94409937888199,84.0,2.0,284.0
journal,nice_to_have,all,input_words,177,426.1242937853107,422.0,115.0,881.0
journal,nice_to_have,all,target_items,177,2.4519774011299433,2.0,1.0,9.0
journal,nice_to_have,all,target_words,177,9.152542372881356,7.0,1.0,49.0
journal,nice_to_have,train,input_words,71,424.8732394366197,410.0,141.0,802.0
journal,nice_to_have,train,target_items,71,2.4507042253521125,2.0,1.0,9.0
journal,nice_to_have,train,target_words,71,9.126760563380282,7.0,1.0,49.0
journal,nice_to_have,validation,input_words,18,419.1111111111111,426.0,163.0,701.0
journal,nice_to_have,validation,target_items,18,2.388888888888889,2.0,1.0,6.0
journal,nice_to_have,validation,target_words,18,9.0,7.5,2.0,21.0
journal,nice_to_have,test,input_words,88,428.5681818181818,429.0,115.0,881.0
journal,nice_to_have,test,target_items,88,2.465909090909091,2.0,1.0,9.0
journal,nice_to_have,test,target_words,88,9.204545454545455,7.0,1.0,49.0
merged,all_skills,all,input_words,637,425.7394034536892,426.0,25.0,947.0
merged,all_skills,all,target_items,637,21.68602825745683,20.0,0.0,72.0
merged,all_skills,all,target_words,637,86.34850863422292,75.0,0.0,291.0
merged,all_skills,all,distinct_skills_items,637,1.1161695447409734,0.0,0.0,15.0
merged,all_skills,all,hard_skills_items,637,14.007849293563579,12.0,0.0,62.0
merged,all_skills,all,must_have_items,637,14.026687598116169,11.0,0.0,67.0
merged,all_skills,all,nice_to_have_items,637,2.1051805337519625,1.0,0.0,24.0
merged,all_skills,all,soft_skills_items,637,6.4866562009419155,6.0,0.0,30.0
merged,all_skills,all,is_journal,637,0.5054945054945055,1.0,0.0,1.0
merged,all_skills,train,input_words,255,424.73333333333335,435.0,25.0,868.0
merged,all_skills,train,target_items,255,21.67450980392157,20.0,1.0,58.0
merged,all_skills,train,target_words,255,86.96078431372548,73.0,2.0,285.0
merged,all_skills,train,distinct_skills_items,255,1.0901960784313725,0.0,0.0,11.0
merged,all_skills,train,hard_skills_items,255,13.901960784313726,12.0,1.0,46.0
merged,all_skills,train,must_have_items,255,13.556862745098039,10.0,0.0,63.0
merged,all_skills,train,nice_to_have_items,255,2.3568627450980393,1.0,0.0,24.0
merged,all_skills,train,soft_skills_items,255,6.6117647058823525,6.0,0.0,21.0
merged,all_skills,train,is_journal,255,0.4823529411764706,0.0,0.0,1.0
merged,all_skills,validation,input_words,64,424.09375,429.5,56.0,762.0
merged,all_skills,validation,target_items,64,21.78125,20.0,2.0,53.0
merged,all_skills,validation,target_words,64,85.078125,74.5,12.0,215.0
merged,all_skills,validation,distinct_skills_items,64,1.078125,0.0,0.0,6.0
merged,all_skills,validation,hard_skills_items,64,14.109375,12.0,0.0,38.0
merged,all_skills,validation,must_have_items,64,13.9375,11.0,0.0,54.0
merged,all_skills,validation,nice_to_have_items,64,2.171875,1.0,0.0,19.0
merged,all_skills,validation,soft_skills_items,64,6.484375,6.0,0.0,19.0
merged,all_skills,validation,is_journal,64,0.5,0.5,0.0,1.0
merged,all_skills,test,input_words,318,426.87735849056605,416.0,44.0,947.0
merged,all_skills,test,target_items,318,21.67610062893082,20.0,0.0,72.0
merged,all_skills,test,target_words,318,86.11320754716981,75.0,0.0,291.0
merged,all_skills,test,distinct_skills_items,318,1.1446540880503144,0.0,0.0,15.0
merged,all_skills,test,hard_skills_items,318,14.072327044025156,12.0,0.0,62.0
merged,all_skills,test,must_have_items,318,14.421383647798741,11.0,0.0,67.0
merged,all_skills,test,nice_to_have_items,318,1.889937106918239,1.0,0.0,22.0
